id,infinitive,definition,mood,subject,tense,answer
0,abanderar,"to register, to champion",Indicative,yo,Present,abandero
1,abanderar,"to register, to champion",Indicative,yo,Preterite,abanderé
2,abanderar,"to register, to champion",Indicative,yo,Imperfect,abanderaba
3,abanderar,"to register, to champion",Indicative,yo,Conditional,abanderaría
4,abanderar,"to register, to champion",Indicative,yo,Future,abanderaré
5,abanderar,"to register, to champion",Indicative,tú,Present,abanderas
6,abanderar,"to register, to champion",Indicative,tú,Preterite,abanderaste
7,abanderar,"to register, to champion",Indicative,tú,Imperfect,abanderabas
8,abanderar,"to register, to champion",Indicative,tú,Conditional,abanderarías
9,abanderar,"to register, to champion",Indicative,tú,Future,abanderarás
10,abanderar,"to register, to champion",Indicative,él,Present,abandera
11,abanderar,"to register, to champion",Indicative,ella,Present,abandera
12,abanderar,"to register, to champion",Indicative,Ud.,Present,abandera
13,abanderar,"to register, to champion",Indicative,él,Preterite,abanderó
14,abanderar,"to register, to champion",Indicative,ella,Preterite,abanderó
15,abanderar,"to register, to champion",Indicative,Ud.,Preterite,abanderó
16,abanderar,"to register, to champion",Indicative,él,Imperfect,abanderaba
17,abanderar,"to register, to champion",Indicative,ella,Imperfect,abanderaba
18,abanderar,"to register, to champion",Indicative,Ud.,Imperfect,abanderaba
19,abanderar,"to register, to champion",Indicative,él,Conditional,abanderaría
20,abanderar,"to register, to champion",Indicative,ella,Conditional,abanderaría
21,abanderar,"to register, to champion",Indicative,Ud.,Conditional,abanderaría
22,abanderar,"to register, to champion",Indicative,él,Future,abanderará
23,abanderar,"to register, to champion",Indicative,ella,Future,abanderará
24,abanderar,"to register, to champion",Indicative,Ud.,Future,abanderará
25,abanderar,"to register, to champion",Indicative,nosotros,Present,abanderamos
26,abanderar,"to register, to champion",Indicative,nosotros,Preterite,abanderamos
27,abanderar,"to register, to champion",Indicative,nosotros,Imperfect,abanderábamos
28,abanderar,"to register, to champion",Indicative,nosotros,Conditional,abanderaríamos
29,abanderar,"to register, to champion",Indicative,nosotros,Future,abanderaremos
30,abanderar,"to register, to champion",Indicative,vosotros,Present,abanderáis
31,abanderar,"to register, to champion",Indicative,vosotros,Preterite,abanderasteis
32,abanderar,"to register, to champion",Indicative,vosotros,Imperfect,abanderabais
33,abanderar,"to register, to champion",Indicative,vosotros,Conditional,abanderaríais
34,abanderar,"to register, to champion",Indicative,vosotros,Future,abanderaréis
35,abanderar,"to register, to champion",Indicative,ellos,Present,abanderan
36,abanderar,"to register, to champion",Indicative,ellas,Present,abanderan
37,abanderar,"to register, to champion",Indicative,Uds.,Present,abanderan
38,abanderar,"to register, to champion",Indicative,ellos,Preterite,abanderaron
39,abanderar,"to register, to champion",Indicative,ellas,Preterite,abanderaron
40,abanderar,"to register, to champion",Indicative,Uds.,Preterite,abanderaron
41,abanderar,"to register, to champion",Indicative,ellos,Imperfect,abanderaban
42,abanderar,"to register, to champion",Indicative,ellas,Imperfect,abanderaban
43,abanderar,"to register, to champion",Indicative,Uds.,Imperfect,abanderaban
44,abanderar,"to register, to champion",Indicative,ellos,Conditional,abanderarían
45,abanderar,"to register, to champion",Indicative,ellas,Conditional,abanderarían
46,abanderar,"to register, to champion",Indicative,Uds.,Conditional,abanderarían
47,abanderar,"to register, to champion",Indicative,ellos,Future,abanderarán
48,abanderar,"to register, to champion",Indicative,ellas,Future,abanderarán
49,abanderar,"to register, to champion",Indicative,Uds.,Future,abanderarán
50,abanderar,"to register, to champion",Subjunctive,yo,Present,abandere
51,abanderar,"to register, to champion",Subjunctive,yo,Imperfect,abanderara
52,abanderar,"to register, to champion",Subjunctive,yo,Imperfect 2,abanderase
53,abanderar,"to register, to champion",Subjunctive,yo,Future,abanderare
54,abanderar,"to register, to champion",Subjunctive,tú,Present,abanderes
55,abanderar,"to register, to champion",Subjunctive,tú,Imperfect,abanderaras
56,abanderar,"to register, to champion",Subjunctive,tú,Imperfect 2,abanderases
57,abanderar,"to register, to champion",Subjunctive,tú,Future,abanderares
58,abanderar,"to register, to champion",Subjunctive,él,Present,abandere
59,abanderar,"to register, to champion",Subjunctive,ella,Present,abandere
60,abanderar,"to register, to champion",Subjunctive,Ud.,Present,abandere
61,abanderar,"to register, to champion",Subjunctive,él,Imperfect,abanderara
62,abanderar,"to register, to champion",Subjunctive,ella,Imperfect,abanderara
63,abanderar,"to register, to champion",Subjunctive,Ud.,Imperfect,abanderara
64,abanderar,"to register, to champion",Subjunctive,él,Imperfect 2,abanderase
65,abanderar,"to register, to champion",Subjunctive,ella,Imperfect 2,abanderase
66,abanderar,"to register, to champion",Subjunctive,Ud.,Imperfect 2,abanderase
67,abanderar,"to register, to champion",Subjunctive,él,Future,abanderare
68,abanderar,"to register, to champion",Subjunctive,ella,Future,abanderare
69,abanderar,"to register, to champion",Subjunctive,Ud.,Future,abanderare
